Designator,Mid X,Mid Y,Rotation,Layer
A1,192.2,-55.59,270.0,top
C1,207.76,-121.182512,180.0,top
C10,199.1,-67.6,90.0,top
C11,153.12,-93.99,90.0,top
C12,159.68,-71.37,180.0,top
C13,142.35,-45.41,180.0,top
C14,158.741718,-87.0675,90.0,top
C15,158.75,-90.6575,90.0,top
C16,101.400713,-65.031876,270.0,top
C17,170.5,-93.42,0.0,top
C18,171.4,-129.0,180.0,top
C19,165.8,-129.0,180.0,top
C2,204.98,-115.612512,270.0,top
C20,197.5,-129.0,0.0,top
C21,191.9,-129.0,0.0,top
C22,193.9,-79.6,90.0,top
C23,199.958882,-75.0,0.0,top
C24,103.360713,-65.031876,270.0,top
C25,183.6,-36.0,90.0,top
C3,203.44,-121.192512,0.0,top
C4,100.9525,-45.03,90.0,top
C5,89.4025,-45.05,90.0,top
C6,202.93,-59.92,180.0,top
C7,160.22,-43.89,0.0,top
C8,165.92,-58.49,0.0,top
C9,191.5,-67.6,270.0,top
D1,210.923029,-111.832513,270.0,top
D10,155.4,-117.5,180.0,top
D11,177.4775,-139.4,180.0,top
D12,171.4,-135.5,270.0,top
D13,177.5225,-130.276,0.0,top
D14,165.8,-135.5,270.0,top
D15,185.7775,-130.272427,180.0,top
D16,197.5,-135.5,270.0,top
D17,185.8225,-139.395,0.0,top
D18,191.9,-135.5,270.0,top
D19,169.1,-106.3,0.0,top
D2,90.23,-62.53,180.0,top
D20,177.5,-106.2,0.0,top
D21,185.8,-106.2,0.0,top
D22,194.2,-106.2,0.0,top
D3,100.3,-114.0,90.0,top
D4,102.0,-117.5,180.0,top
D5,118.1,-114.0,90.0,top
D6,119.8,-117.5,180.0,top
D7,136.0,-114.0,90.0,top
D8,137.6,-117.5,180.0,top
D9,153.7,-114.0,90.0,top
FB1,203.37,-110.712512,0.0,top
J1,211.5,-103.1,90.0,top
J2,211.53797,-80.577888,90.0,top
J3,80.5,-91.0,270.0,top
J4,145.931406,-30.100625,180.0,top
J5,80.6325,-62.5,270.0,top
J6,117.12,-47.15,180.0,top
J7,181.65613,-146.05613,0.0,top
J8,127.5,-146.0,0.0,top
J9,80.62,-47.325874,270.0,top
JP2,187.9,-89.9,180.0,top
JP3,187.9,-87.3,180.0,top
JP4,187.9,-84.7,180.0,top
JP5,90.13,-68.43,0.0,top
K1,100.74526,-129.07026,270.0,top
K2,118.554269,-129.099645,270.0,top
K3,136.346324,-129.085901,270.0,top
K4,154.175,-129.1,270.0,top
L1,206.44,-128.442512,180.0,top
NT1,211.5,-99.0,90.0,top
Q1,96.8,-116.6,90.0,top
Q2,114.5,-116.6,90.0,top
Q3,132.3,-116.6,90.0,top
Q4,150.1,-116.6,90.0,top
R1,210.92,-116.652512,90.0,top
R10,90.13,-65.705,180.0,top
R11,90.13,-59.355,0.0,top
R13,170.51,-90.6,270.0,top
R14,187.9,-96.2,0.0,top
R15,187.9,-94.2,0.0,top
R16,187.9,-92.2,0.0,top
R17,102.0,-103.5,0.0,top
R18,103.7,-114.0,90.0,top
R19,96.8,-113.1,180.0,top
R2,189.6,-67.7,270.0,top
R20,119.7,-103.5,0.0,top
R21,121.4,-114.0,90.0,top
R22,114.5,-113.1,180.0,top
R23,137.5,-103.5,0.0,top
R24,139.3,-114.0,90.0,top
R25,132.3,-113.1,180.0,top
R26,155.4,-103.5,0.0,top
R27,157.1,-114.0,90.0,top
R28,150.1,-113.1,180.0,top
R29,177.5,-136.202,180.0,top
R3,187.6,-68.4,270.0,top
R30,177.5,-133.024,0.0,top
R31,177.5,-127.078,180.0,top
R32,177.5,-123.9,0.0,top
R33,185.8,-127.074903,0.0,top
R34,185.8,-123.897379,180.0,top
R35,185.8,-136.197476,0.0,top
R36,185.8,-133.019952,180.0,top
R37,169.1,-103.6,180.0,top
R38,177.5,-103.6,180.0,top
R39,185.8,-103.6,180.0,top
R4,203.18,-68.41,270.0,top
R40,194.2,-103.6,180.0,top
R41,107.69,-35.69,180.0,top
R42,111.15,-34.14,90.0,top
R43,98.724885,-35.675047,0.0,top
R44,147.68,-53.14,180.0,top
R45,207.54,-112.962512,180.0,top
R46,207.54,-110.712512,180.0,top
R5,200.972533,-67.7,270.0,top
R6,157.616718,-84.128158,180.0,top
R7,157.016718,-81.853158,180.0,top
R8,156.996718,-95.798158,180.0,top
R9,157.641718,-93.528158,180.0,top
SW1,187.8,-30.1,180.0,top
U1,207.5875,-116.512512,270.0,top
U10,96.63,-62.53,180.0,top
U11,178.17,-88.97,180.0,top
U12,102.0,-108.5,180.0,top
U13,119.7,-108.5,180.0,top
U14,137.5,-108.5,180.0,top
U15,155.4,-108.5,180.0,top
U16,169.1,-114.4,90.0,top
U17,177.466667,-114.4,90.0,top
U18,185.833333,-114.4,90.0,top
U19,194.2,-114.4,90.0,top
U2,95.55,-45.03,270.0,top
U20,199.948882,-80.599983,90.0,top
U21,104.84,-58.1525,90.0,top
U22,187.8,-36.0,270.0,top
U23,103.26,-31.33,180.0,top
U3,163.65,-48.43,270.0,top
U4,163.6275,-62.91,270.0,top
U5,195.3,-69.4,0.0,top
U6,122.22,-81.85184,90.0,top
U7,156.275,-75.875,270.0,top
U8,147.6575,-48.45,270.0,top
U9,155.95,-88.8625,270.0,top
