Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C3, C4",0402,3,100nF,C1525
J3,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1,Encoder,
J4,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,LCD I2C,
J5,Molex_KK-254_AE-6410-12A_1x12_P2.54mm_Vertical,1,CC56-12EWA,
"R1, R10, R14, R2, R6, R7, R9",0603,7,10k,C25804
U2,SSOP-28_3.9x9.9mm_P0.635mm,1,HT16K33,C5444738
U3,SOP65P490X110-8N,1,PCA9517ADP,C80799
